Genes,GLC01,A549,BEAS,NCI-H23,CALU-3
DHCR7_HUMAN,4.728403951,3.778089681,3.305016452,2.749597866,5.287619624
FXRD1_HUMAN,3.275027745,2.546960861,3.588144792,2.35026752,2.583022016
TSN4_HUMAN,7.952500027,6.663517727,6.855965807,5.934821915,5.040632562
TAF10_HUMAN,2.465394616,1.908079517,1.735196671,1.773897369,2.714947791
TM216_HUMAN,0.058767287,0.168248435,1.816982045,1.896739431,-0.125928928
DEN2B_HUMAN,2.877520809,1.662441627,2.558650932,0.574400215,2.762650087
MTMRD_HUMAN,6.03768612,6.132474935,5.67197667,5.318688446,5.895371606
OCAT2_HUMAN,1.626072682,-0.021855587,0.09692228,-0.124300497,1.230159562
DDX10_HUMAN,5.66589767,6.395668288,6.164484446,6.761346808,6.226100236
RNF26_HUMAN,4.376101908,4.099985456,4.149736672,4.584894339,4.02878749
UBP2_HUMAN,0.219596807,-0.155374411,3.769303716,1.038872975,0.211189416
THY1_HUMAN,-0.142594238,2.804860387,1.995208172,-0.340850857,-0.340850857
MYEOV_HUMAN,4.850923676,2.687252169,-0.340850857,0.820376423,4.396817159
CCND1_HUMAN,7.04169058,7.522732455,3.902494711,8.081577972,7.649032404
LTO1_HUMAN,4.229369656,3.666322782,4.44792456,5.065414367,4.130936845
FGF19_HUMAN,-0.340850857,-0.149017584,-0.340850857,0.460940095,1.44482556
BCL9L_HUMAN,8.148828068,7.554266085,5.540976423,7.308672761,6.655553083
HEM3_HUMAN,4.703033669,3.799038705,3.992113055,4.257794117,4.195905403
CELF1_HUMAN,8.754249329,8.860453692,9.465318102,8.816373254,8.896016517
NAL10_HUMAN,-0.340850857,-0.340850857,-0.183183322,-0.340850857,-0.340850857
TM138_HUMAN,4.046474272,3.169780916,3.377531647,3.397715646,3.498377647
STK33_HUMAN,2.826176464,1.196451334,3.193073931,-0.340850857,0.321463234
ANR42_HUMAN,3.098680828,3.777588419,3.738560735,3.136057054,2.56138893
PCF11_HUMAN,5.9365155,6.269156844,6.622501341,6.526904574,6.143122222
SPTOS_HUMAN,1.745848712,1.856706557,0.640772136,1.364348049,0.536385163
CAR16_HUMAN,-0.139489332,0.792871193,3.331983218,-0.340850857,1.428434119
C19L2_HUMAN,5.17891826,5.755545431,7.137761185,6.176722412,5.840484866
PAX6_HUMAN,0.198739383,1.035022483,-0.340850857,3.490713219,0.220272246
SYTL2_HUMAN,2.113836279,1.589019766,0.854334917,2.011196789,4.750098227
NU160_HUMAN,5.351167727,5.481318743,5.219700453,5.477263618,5.149022989
HYOU1_HUMAN,6.694385277,5.596359349,7.904422242,7.190899515,7.133434565
KCD21_HUMAN,1.11742656,1.963874903,1.413035276,2.064180869,2.030545423
UBP35_HUMAN,0.66174201,1.088965456,0.547461456,1.937378629,0.796251244
GAB2_HUMAN,1.872632305,3.670349059,2.595297251,0.465122517,3.258698997
ATP5L_HUMAN,10.31679816,9.714081286,10.59991138,10.60508839,9.482964746
SYNM_HUMAN,4.857249908,4.843912775,4.21095092,4.442248153,4.660758774
EMSY_HUMAN,4.137617204,4.227937425,4.340915793,4.875483491,3.852414579
DGKZ_HUMAN,3.764044814,2.892974625,4.08954063,3.80019872,3.647591926
CASP1_HUMAN,0.660831661,2.344924172,4.195282318,-0.340850857,1.307746879
CLPB_HUMAN,5.313966836,4.667369595,5.628333752,6.768234521,4.863679349
NALDL_HUMAN,-0.340850857,-0.340850857,-0.031378864,-0.340850857,-0.340850857
CDCA5_HUMAN,4.084440253,4.041328979,5.337109556,4.716710871,4.13110986
ZFPL1_HUMAN,3.076900167,2.196496428,3.305663431,2.562201612,2.633674707
VPS51_HUMAN,4.572897103,4.263467796,3.559358503,3.779348813,4.241632198
ERG24_HUMAN,2.800103001,2.084684165,2.37079486,1.9607392,4.063849277
ZNHI2_HUMAN,2.0297805,1.451321894,1.84829232,2.054013236,2.80876398
RS30_HUMAN,9.638210343,9.416805639,9.22231343,8.937430662,9.00627976
SYVN1_HUMAN,5.167553181,3.896553561,4.451592148,3.894876337,5.295090663
RM49_HUMAN,4.733859779,4.1218331,4.706875161,4.651420165,5.362938988
CAN1_HUMAN,6.151094581,5.74529799,4.311329219,4.44556182,6.335776164
TSSC4_HUMAN,4.987102195,4.598175329,5.452042736,4.790896453,4.331131207
ATNG_HUMAN,1.684185564,-0.340850857,-0.340850857,-0.340850857,0.225686776
CAVN3_HUMAN,-0.139489332,5.230851555,3.653708895,0.381411122,3.86458061
ASM_HUMAN,1.975031965,2.730043682,3.915671106,2.156479274,3.405910768
DNHD1_HUMAN,0.82375034,1.394703526,0.833348043,0.932270505,3.442721513
NRIP3_HUMAN,1.637671321,3.701098617,3.052241706,3.720647638,0.624582139
SMAP_HUMAN,8.20465106,8.003038016,8.743536365,7.578840287,7.947349746
PIWL4_HUMAN,0.552549172,-0.340850857,-0.031378864,0.095614526,3.363862735
FUT4_HUMAN,2.865499534,2.402223045,1.289375796,2.174162473,5.392574235
INT4_HUMAN,3.844342245,3.550322786,3.77040344,4.541434977,4.07220172
ZW10_HUMAN,4.810244295,4.647750372,6.296141518,5.732408097,5.195090251
NECT1_HUMAN,3.430050023,2.043855593,2.558650932,3.49745046,3.682156636
FLI1_HUMAN,0.534501846,0.864634197,0.680609715,0.460940095,0.478125871
UBP28_HUMAN,4.84304738,5.297453307,5.123325265,5.388910234,4.318888707
MOB2_HUMAN,2.740018917,2.117515409,2.317854393,2.176164071,2.478218323
CWC15_HUMAN,6.456683246,6.514065605,6.764041619,6.782914657,6.474018216
KDM4D_HUMAN,0.105660348,0.895568102,1.854190542,1.192940787,0.543812149
