Genes,ccd,ccd,ccd
ZN695_HUMAN,0.276696563,-0.340850857,-0.340850857
KS6C1_HUMAN,4.922128321,4.932712398,4.612480248
TMCC2_HUMAN,2.197285588,2.189344518,2.792212717
NU133_HUMAN,5.352779607,5.358182178,5.282764081
PGBD2_HUMAN,2.548851742,3.058730152,2.103204187
FLVC1_HUMAN,2.440909998,2.905793422,1.947944625
S41A1_HUMAN,6.038991282,5.873267174,6.06576945
ZN670_HUMAN,2.548851742,2.640889929,2.488455847
PURA2_HUMAN,6.903871165,6.873864072,6.825958209
LMOD1_HUMAN,7.163622347,7.039266421,7.108555026
ACBD6_HUMAN,5.933408086,5.674545314,5.678168428
ST7L_HUMAN,3.997825257,3.784501481,3.383215487
RBBP5_HUMAN,5.195590671,5.498517826,5.330697966
XPR1_HUMAN,5.872384931,6.001473451,6.037162741
KIF14_HUMAN,3.878761874,3.546554987,3.658310983
GT252_HUMAN,4.47920045,4.57513443,4.688029809
PCX2_HUMAN,3.270269458,3.646489942,3.707552626
CNIH3_HUMAN,2.324234228,2.984287397,2.596971191
SDCG8_HUMAN,6.346273683,6.458627634,6.192243311
S35F3_HUMAN,2.324234228,3.129519424,2.880743328
ZN281_HUMAN,7.956585395,8.071347002,7.987182075
ARI4B_HUMAN,8.044498991,7.879306793,7.818129552
3BP5L_HUMAN,6.204929067,5.982475877,6.401227773
WNT2B_HUMAN,3.067421454,3.058730152,2.792212717
NUCKS_HUMAN,10.24906725,10.19838877,10.19601336
M3K21_HUMAN,0.707754626,0.273361542,0.296259822
TI17A_HUMAN,6.924058101,7.057535321,6.938516087
CDC7_HUMAN,1.039210356,1.724146699,1.947944625
SMYD3_HUMAN,4.451652404,4.600276035,4.66328362
KLH20_HUMAN,6.419199826,6.236102572,5.937490247
NTPCR_HUMAN,5.382261976,5.563877789,5.128595196
RAB7L_HUMAN,5.872384931,5.626404571,5.738641721
KCTD3_HUMAN,7.468580635,7.220441881,7.485513506
ZC12A_HUMAN,3.270269458,2.540552476,2.697892218
HHAT_HUMAN,3.959219041,4.167552857,3.97219083
RBM34_HUMAN,0.276696563,0.70280457,0.736681169
KCNK1_HUMAN,3.270269458,3.26145925,3.84593117
HMCN1_HUMAN,0.276696563,1.528472007,1.346588607
CK2N1_HUMAN,9.457703161,9.266664517,9.326747262
MUL1_HUMAN,3.502793157,3.32316388,3.383215487
FA43B_HUMAN,-0.340850857,-0.340850857,-0.340850857
CDD_HUMAN,1.039210356,0.70280457,1.346588607
